place,id,title,author,snbn,format,genre
Tijuana-Luis Fimbres Moreno,37495,Las Veinticuatro tesis Tomistas,"Hugon, Eduardo",AC75 H84 1974,AC,obras generales
Tijuana-Luis Fimbres Moreno,37748,Leyes económicas y planificación socialista,"Kadishev, L.A.",AC75 K33 1969,AC,obras generales
Tijuana-Luis Fimbres Moreno,38142,Cómo asistir a una conferencia,"Sullivan, Dorothea F.",AS6 S8518 1975,AC,autoayuda
Tijuana-Luis Fimbres Moreno,37484,"Etica nicomaquea, política",Aristóteles,B 430. E8 G75 1972,AC,filosofia
Tijuana-Luis Fimbres Moreno,37343,Mi punto de vista,"Kierkegaard, Soren Aabye",B 4373 K54 1972,AC,filosofia
Tijuana-Luis Fimbres Moreno,37509,Estudios de la historia de la filosofía en México,NA,B1016 E88 1963,AC,filosofia
Tijuana-Luis Fimbres Moreno,37356,"El Positivismo en México; nacimiento, apogeo y decadencia","Zea, Leopoldo",B1018.P6 Z43 1968,AC,filosofia
Tijuana-Luis Fimbres Moreno,37472,Confucio y el humanismo chino,"Do-Dinh, Pierre",B128.C8 D6 1960,AC,filosofia
Tijuana-Luis Fimbres Moreno,37319,Principios del conocimiento humano,"Berkeley, George",B1333 B47 1974,AC,filosofia
Tijuana-Luis Fimbres Moreno,37390,Ensayo de una nueva teoría de la visión,"Berkeley, George",B1338.E8 B47 1965,AC,psicologia
Tijuana-Luis Fimbres Moreno,37320,Del conocimiento,"Hume, David",B1455.H818 C66 1973,AC,filasofia
Tijuana-Luis Fimbres Moreno,37321,Resumen del tratado de la naturaleza humana,"Hume, David",B1485 H86 1973,AC,antropologia
Tijuana-Luis Fimbres Moreno,37510,Diálogos sobre la religión natural,"Hume, David",B1493 H86 1973,AC,filosofia
Tijuana-Luis Fimbres Moreno,37466,El Utilitarismo,"Mill, John Stuart",B1603.U85 S78 1980,AC,filosofia
Tijuana-Luis Fimbres Moreno,37471,Ciencia y filosofía en la antiguedad,"Farrington, Benjamin",B1618 F37 1980,AC,filosofia
Tijuana-Luis Fimbres Moreno,37359,Misticismo y lógica y otros ensayos,"Russell, Bertrand",B1649.R87 M95 1975,AC,filosofia
Tijuana-Luis Fimbres Moreno,37505,Conocimiento y causa,"Russell, Bertrand",B1649.R93 R87 1967,AC,filosofia
Tijuana-Luis Fimbres Moreno,37500,La Filosofía del renacimiento,"Windelband, Wilhelm",B168 W56 1946,AC,filosofia
Tijuana-Luis Fimbres Moreno,37309,Meditaciones metafísicas,"Descartes, Rene",B1858.E8 D47 1973,AC,filosogia
Tijuana-Luis Fimbres Moreno,37487,Eneada cuarta,Plotino,B186 P729 1973,AC,filosofia
Tijuana-Luis Fimbres Moreno,37311,Reglas para la dirección de la mente,"Descartes, Rene",B1868.E8 D47 1974,AC,psicologia
Tijuana-Luis Fimbres Moreno,37328,Opusculos,"Pascal, Blaise",B1900.E8 P37 1956,AC,literatura
Tijuana-Luis Fimbres Moreno,37476,Fragmentos,Anaxagoras,B205.A4 E53 1962,AC,filosofia
Tijuana-Luis Fimbres Moreno,37355,Auguste Comte y el positivismo,"Mill, John Stuart",B2248 M55 1972,AC,filosofia
Tijuana-Luis Fimbres Moreno,37739,Estructuralismo y Marxismo,"Lefébvre, Henri",B2424.S75 E7818 1970,AC,ciencias politicas
Tijuana-Luis Fimbres Moreno,37344,Bergson,"Roy, Edouard Le.",B2430 R69 1928,AC,filosofia
Tijuana-Luis Fimbres Moreno,37498,La Filosofía en sus texto III; de charles sanders pierce a francisco romero,"Marías, Julián",B25 M37 1963,AC,filosofia
Tijuana-Luis Fimbres Moreno,37508,Filósofos alemanes; de Eckhart a Heidegger,"Friedrich Sauer, Ernst",B2523 S75 1973,AC,filosofia
Tijuana-Luis Fimbres Moreno,37312,Monadologia,"Leibniz, Gottfried Wilhelm",B2580.E8 L45 1980,AC,psicologia
Tijuana-Luis Fimbres Moreno,37357,La Profesión de fe del filósofo,"Leibniz, Gottfried Wilhelm",B2584.E8 L45 1973,AC,filosofia
Tijuana-Luis Fimbres Moreno,37315,Reflexiones filosóficas acerca de la poesía,"Baumgarten, Alexander G.",B2637 B38 1975,AC,filosofia
Tijuana-Luis Fimbres Moreno,37338,"Kant, vida y doctrina","Cassirer, Ernst,",B2797 C37 1968,AC,filosofia
Tijuana-Luis Fimbres Moreno,37318,La Relación de las artes figurativas con la naturaleza,"Schelling, Friedrich",B2870 S24 1972,AC,filosofia
Tijuana-Luis Fimbres Moreno,37305,Introducción a la historia de la filosofía,"Hegel, Georg",B2936.A4 H44 1980,AC,filosofia
Tijuana-Luis Fimbres Moreno,37479,Fragmentos y testimonios,Protagoras,B305.P82 E76 1973,AC,filosofia
Tijuana-Luis Fimbres Moreno,37307,Fragmentos sobre la historia de la filosofía,"Schopenhauer, Arturo",B3118.E8 S36 1977,AC,filosofia
Tijuana-Luis Fimbres Moreno,37341,El Ser y el tiempo,"Heidegger, Martin",B3279 H45 1971,AC,filosofia
Tijuana-Luis Fimbres Moreno,37483,Critón,Platón,B368.A8 C75 1972,AC,filosofia
Tijuana-Luis Fimbres Moreno,37482,Fedon,Platón,B379.A8 E32 1973,AC,filosofia
Tijuana-Luis Fimbres Moreno,37463,Ética,"Spinoza, Benedictus de",B3973.E8 R6 1975,AC,filosofia
Tijuana-Luis Fimbres Moreno,37642,Lenin; la vida de un militante,"Garaudy, Roger",B4249.L384 G37 1970,AC,filosofia
Tijuana-Luis Fimbres Moreno,37485,Argumentos sofísticos,Aristóteles,B443.A8 A73 1973,AC,filosofia
Tijuana-Luis Fimbres Moreno,37337,De las ideas,"Balmes, Jaime Luciano",B4568 B35 1980,AC,filosofia
Tijuana-Luis Fimbres Moreno,37671,El imperialismo,"Lichtheim, George",B4815.L84 L5318 1972,AC,filosofia
Tijuana-Luis Fimbres Moreno,37489,Epicteto,NA,B561 E6518 1975,AC,filosofia
Tijuana-Luis Fimbres Moreno,37301,Vidas de filósofos y sofistas,Eunapio,B577 E96 1975,AC,filosofia
Tijuana-Luis Fimbres Moreno,37491,Tratados filosóficos; cartas,Séneca,B615.E8 S46 1975,AC,filosofia
Tijuana-Luis Fimbres Moreno,37300,La Consolación de la filosofía,"Boecio, Anicio Manlio",B659.E2 B64 1977,AC,filosofia
Tijuana-Luis Fimbres Moreno,37490,Todo hombre bueno es libre,Filon,B689.T6 F55 1973,AC,filosofia
Tijuana-Luis Fimbres Moreno,37486,Eneada tercera,Plotino,B693.A42 P56 1973,AC,filosofia
Tijuana-Luis Fimbres Moreno,37516,Elementos de teología,Proclo de Bizancio,B701.A4 P76 1975,AC,religion
Tijuana-Luis Fimbres Moreno,37502,Historia crítica de la filosofía occidental III,"O´Connor, D.J.",B72 O36 1968,AC,filosofia
Tijuana-Luis Fimbres Moreno,37503,Historia crítica de la filosofía occidental IV,"O´Connor, D.J.",B72 O36 1968,AC,filosofia
Tijuana-Luis Fimbres Moreno,37494,Filosofía medieval,"Grabmann, Martin",B721 G73 1928,AC,filosofia
Tijuana-Luis Fimbres Moreno,37514,El libro del consuelo divino,Eckehart de Hochleim,B765 E33 1977,AC,filosofia
Tijuana-Luis Fimbres Moreno,37322,La docta ignorancia,"Cusa, Nicolas de",B765.N53 C87 1973,AC,filosofia
Tijuana-Luis Fimbres Moreno,37493,El Pensamiento de Santo Tómas,"Copleston, F.C.",B765.TC4 C67 1960,AC,filosofia
Tijuana-Luis Fimbres Moreno,37308,Sobre el infinito universo y los mundos,"Bruno, Giordano",B783.E76 G5618 1972,AC,filosofia
Tijuana-Luis Fimbres Moreno,37488,Que nada se sabe,"Sánchez, Francisco",B785 S26 1977,AC,filosofia
Tijuana-Luis Fimbres Moreno,37313,De las propiedades del ente en general y de sus principios,"Suárez, Francisco",B785 S83 1977,AC,filosofia
Tijuana-Luis Fimbres Moreno,37464,Introducción a la sabiduria,"Vives, Juan Luis.",B785.V58 I55 1972,AC,filosofia
Tijuana-Luis Fimbres Moreno,37499,Breve esquema de los sistemas de filosofía moderna y de mi propio sistema,"Rosmini Serbati, Antonio",B794 R67 1974,AC,filosofia
Tijuana-Luis Fimbres Moreno,37497,La Filosofía actual,"Bochenski, J. M.",B804 B6318 1951,AC,filosofia
Tijuana-Luis Fimbres Moreno,37455,El Método dialéctico,"Gortari, Elí de,",B809.7 G67 1970,AC,filosofia
Tijuana-Luis Fimbres Moreno,37299,Fundamentos de filosofía,"Afanasiev, V.",B809.8 A43 1974,AC,filosofia
Tijuana-Luis Fimbres Moreno,37459,Las Contradicciones,"Mao, Tse-Tung",B809.8 M36 1969,AC,filosofia
Tijuana-Luis Fimbres Moreno,37743,Materialismo militante,"Plejánov, Jorge",B809.8 P5418 1967,AC,filosofia
Tijuana-Luis Fimbres Moreno,37339,Introducción al existencialismo,"Abbagnano, Nicola,",B819 A34 1975,AC,filosofia
Tijuana-Luis Fimbres Moreno,37306,Historia de la filosofía tomo II,"Hirschberger, Johannes",B82 H57 1967,AC,filosofia
Tijuana-Luis Fimbres Moreno,37501,La Filosofía del iluminismo,"Windelband, Wilhelm",B82 W5518 1948,AC,filosofia
Tijuana-Luis Fimbres Moreno,37630,Teoría y práctica de la ideología,"Silva, Ludovico",B823.3 S55 1978,AC,filosofia
Tijuana-Luis Fimbres Moreno,37737,El Papel del individuo en la historia,"Plejánov, Jorge",B824 P44 1969,AC,filosofia
Tijuana-Luis Fimbres Moreno,37345,Pragmatismo,"James, William",B832 J36 1973,AC,filosofia
Tijuana-Luis Fimbres Moreno,37314,El Significado de la verdad,"James, William",B832 J46 1974,AC,filosofia
Tijuana-Luis Fimbres Moreno,37304,Historia de la filosofía III,"Abbagnano, Nicola,",B87 A23 1956,AC,filosofia
Tijuana-Luis Fimbres Moreno,37736,Marcuse ante sus criticos,"Marcuse, Herbert",B945 M37 1970,AC,filosofia
Tijuana-Luis Fimbres Moreno,37456,Lógica general,"Gortari, Elí de,",BC117.E8 G67 1972,AC,filosofia
Tijuana-Luis Fimbres Moreno,37458,Lógica,"Montes de Oca, Francisco",BC117.E8 M661960,AC,filosofia
Tijuana-Luis Fimbres Moreno,37457,Apuntes de lógica,"Maldonado Maldonado, Lucio",BC50 M35 1976,AC,filosofia
Tijuana-Luis Fimbres Moreno,37460,Hipótesis y verdad,"Kopnin, P.V.",BD166 K67 1969,AC,filosofia
Tijuana-Luis Fimbres Moreno,37333,Significación del hombre,"Renéville, J. Rolland de",BD40 R46 1977,AC,filosofia
Tijuana-Luis Fimbres Moreno,37332,¿Que es el hombre?,"Buber, Martin",BD450 B8318 1949,AC,filosofia
Tijuana-Luis Fimbres Moreno,37331,Antropología filosófica,"Landmann, Michael",BD450 L36 1978,AC,filosofia
Tijuana-Luis Fimbres Moreno,37352,Problemas filosóficos de la física contemporánea,"Meliujin, S.",BD620 M45 1969,AC,filosofia
Tijuana-Luis Fimbres Moreno,37382,Tótem y tabú,"Freud, Sigmund",BF 173 F74 1952,AC,psicologia
Tijuana-Luis Fimbres Moreno,37362,Cien años de psicología,"Rezk, Mario",BF109.A1 R49 1979,AC,ciencias sociales
Tijuana-Luis Fimbres Moreno,37360,Texto de psicología humana,"Eysenck, H.J.",BF121 E97 1980,AC,filosofia
Tijuana-Luis Fimbres Moreno,37374,Principios de análisis conductual,"Millenson, J.R.",BF121 M55 1979,AC,filosofia
Tijuana-Luis Fimbres Moreno,37377,Teorías psicoanalíticas de la personalidad,"Blum, Gerald S.",BF173 B58 1975,AC,filosofia
Tijuana-Luis Fimbres Moreno,37378,Aspectos sociales del psicoanálisis,"Caruso, Igor A.,",BF173 C37 1979,AC,filosofia
Tijuana-Luis Fimbres Moreno,38116,Historia del psicoanálisis IV,"Grotjahn, M.",BF173 H57 1968,AC,psicologia
Tijuana-Luis Fimbres Moreno,38117,Historia del psicoanálisis V,"Spanjaard, J.",BF173 H57 1968,AC,psicologia
Tijuana-Luis Fimbres Moreno,38118,Historia del psicoanálisis VI,"Ekstein, R.",BF173 H57 1968,AC,psicologia
Tijuana-Luis Fimbres Moreno,38119,Historia del psicoanálisis VII,"Wahl, Charles William",BF173 H57 1968,AC,psicologia
Tijuana-Luis Fimbres Moreno,37409,El Autoanálisis,"Horney, Karen",BF173 H76252 1974,AC,psicologia
Tijuana-Luis Fimbres Moreno,37432,Psicoterapia del oprimido,"Moffatt, Alfredo",BF173 M64 1975,AC,filosofia
Tijuana-Luis Fimbres Moreno,37353,Materialismo dialéctico y psicoanálisis,"Reich, Wilhelm,",BF173 R45 1982,AC,filosofia
Tijuana-Luis Fimbres Moreno,37383,Psicoanálisis y psicología contemporánea; la influencia Freudiana,"Shakow, David",BF173 S43 1976,AC,psicologia
Tijuana-Luis Fimbres Moreno,38120,El Psicoanálisis,"Thompson, Clara",BF173 T4618 1979,AC,psicologia
Tijuana-Luis Fimbres Moreno,37379,Psicoanalizar,"Leclaire, Serge",BF175 L43 1980,AC,psicologia
Tijuana-Luis Fimbres Moreno,37387,Psicología experimental; enfoque metodológico,"McGuigan, Frank J.",BF195 M34 1983,AC,psicologia
Tijuana-Luis Fimbres Moreno,37370,Modificación de conducta ; El condicionamiento de los sistemas internos de respuesta,"Alcaraz, Víctor Manuel",BF199 A53 1979,AC,filosofia
Tijuana-Luis Fimbres Moreno,37389,Percepción; proceso básico en el desarrollo cognoscitivo,"Forgus, Ronald R.",BF311 F68 1972,AC,psicologia
Tijuana-Luis Fimbres Moreno,37391,Teorías del aprendizaje,"Hilgard, Ernest R.",BF318 H5518 1973,AC,psicologia
Tijuana-Luis Fimbres Moreno,926796,The social brain :,NA,BF323.S63 S63 2020,AC,psicologia
Tijuana-Luis Fimbres Moreno,37572,Psicología ambiental,"Heimstra, Norman W.",BF353 H4518 1979,AC,psicologia
Tijuana-Luis Fimbres Moreno,37411,Aspectos biológicos de la memoria y el aprendizaje,"Ardila, Alfredo",BF371 A73 1979,AC,psicologia
Tijuana-Luis Fimbres Moreno,37398,Memoria humana,"Gregg, Vernon",BF371 G74 1978,AC,psicologia
Tijuana-Luis Fimbres Moreno,37401,Introducción a la memoria humana,"Howe, Michael J.A.",BF371 H7318 1979,AC,psicologia
Tijuana-Luis Fimbres Moreno,37363,Psicología; ideología y ciencia,"Braunstein, Néstor A.",BF38 B73 1975,AC,filosofia
Tijuana-Luis Fimbres Moreno,37416,Teoría de los tests,"Magnusson, David",BF39 M34 1969,AC,filosofia
Tijuana-Luis Fimbres Moreno,37417,Psicometría aplicada,"Morales, María Luisa",BF39 M67 1979,AC,filosofia
Tijuana-Luis Fimbres Moreno,37418,Los Tests mentales,"Pichot, Pierre",BF431 P5318 1996,AC,filosofia
Tijuana-Luis Fimbres Moreno,37419,Análisis de los ítemes en la construcción de instrumentos psicométricos,"Tavella, Nicolás M.",BF431 T38 1978,AC,filosofia
Tijuana-Luis Fimbres Moreno,37405,Psicología del pensamiento,"Bourne, Lyle E.",BF455 B6818 1985,AC,psicologia
Tijuana-Luis Fimbres Moreno,37406,Procesos del pensamiento,"Cohen, Josef",BF455 C6418 1973,AC,psicologia
Tijuana-Luis Fimbres Moreno,37916,Pensamiento y lenguaje,"Greene, Judith",BF455 G7418 1979,AC,psicologia
Tijuana-Luis Fimbres Moreno,37371,La función de síntesis del lenguaje,"Alcaraz, Víctor Manuel",BF463.S5 A43 1980,AC,filosofia
Tijuana-Luis Fimbres Moreno,37394,Psicología de la motivación,"Cofer, C.N.",BF503 C6418 1971,AC,psicologia
Tijuana-Luis Fimbres Moreno,37397,La Dialéctica en psicología,"Merani, Alberto L.",BF57 M47 1968,AC,psicologia
Tijuana-Luis Fimbres Moreno,37414,No diga Sí cuando quiera decir No,"Fensterheim, Herbert",BF575.A3 F46 1979,AC,psicologia
Tijuana-Luis Fimbres Moreno,37375,La explicación en las ciencias de la conducta,NA,BF637 C46 1974,AC,filosofia
Tijuana-Luis Fimbres Moreno,37393,Teoría de la motivación; investigación experimental y evaluación,"Bolles, Robert C.",BF683 B64518 1976,AC,psicologia
Tijuana-Luis Fimbres Moreno,37447,¿Tener o ser?,"Fromm, Erich,",BF698 F7618 1978,AC,filosogia
Tijuana-Luis Fimbres Moreno,37340,La Teoría existencialista de la personalidad,"Hall, Calvin S.",BF698 H3518 1974,AC,filosofia
Tijuana-Luis Fimbres Moreno,37412,La Teoría biosocial de la personalidad Murphy,"Hall, Calvin S.",BF698 H3518 1974,AC,psicologia
Tijuana-Luis Fimbres Moreno,37413,La teoría factorial de la personalidad Cattell,"Hall, Calvin S.",BF698 H3518 1974,AC,psicologia
Tijuana-Luis Fimbres Moreno,37430,Crecimiento y cambio,"Mcgurk, Harry",BF713 M3418 1978,AC,filosofia
Tijuana-Luis Fimbres Moreno,37407,Concepción del espacio en el niño según Piaget,"Holloway, G.E.T.",BF723.D7 H6418 1969,AC,psicologia
Tijuana-Luis Fimbres Moreno,37428,Psicología del desarrollo; edad adolescente,"Mckinney, John Paul",BF724 M35 1982,AC,filosofia
Tijuana-Luis Fimbres Moreno,37420,El Rorschach de 10 a 16 años,"Ames, L. B.",BF724.155 A4418 1977,AC,psicologia
Tijuana-Luis Fimbres Moreno,37431,El Mexicano psicología de sus motivaciones,"Ramírez, Santiago",BF755.M4 R36 1961,AC,filosofia
Tijuana-Luis Fimbres Moreno,924758,Reporting qualititative research in psychology,"Levitt, Heidi M.",BF76.5 L48 2020,AC,investigacion psicologica
Tijuana-Luis Fimbres Moreno,925716,Influencer,"Grenny, Joseph",BF774 I5418 2020,AC,psicologia
Tijuana-Luis Fimbres Moreno,38188,Introducción a la estética,"Carritt, E. F.",BH201 C37 1970,AC,psicologia
Tijuana-Luis Fimbres Moreno,37461,Ética,"Fagothey, Austin",BJ1025 F34 1973,AC,filosofia
Tijuana-Luis Fimbres Moreno,37385,El corazón del hombre; su potencia para el bien y para el mal,"Fromm, Erich,",BJ45 F76 1977,AC,psicologia
Tijuana-Luis Fimbres Moreno,37380,Budimo Zen y Psicoanálisis,"Suzuki, David,",BL1432. Z4 S89 1975,AC,psicologia
Tijuana-Luis Fimbres Moreno,37517,Por qué no soy cristiano,"Russell, Bertrand",BL2780 R8718 1972,AC,religion
Tijuana-Luis Fimbres Moreno,37511,La Religión del hombre,"Tagore, Rabindranath",BL48 T34 1977,AC,filosofia
Tijuana-Luis Fimbres Moreno,37518,La Lógica de la religión,"Bochenski, J. M.",BL65. L2 B63 1967,AC,religion
Tijuana-Luis Fimbres Moreno,37507,Lo que verdaderamente dijo Lutero,"Fitzer, Gottfried",BR334.2 F58 1972,AC,filosofia
Tijuana-Luis Fimbres Moreno,38260,Confesiones de San Agustín,"Agustín, San",BR65.A6 S36 1969,AC,filosofia
Tijuana-Luis Fimbres Moreno,37515,Lo que verdaderamente dijo San Pablo,"Wand, J.W.C.",BS2651 W3618 1971,AC,religion
Tijuana-Luis Fimbres Moreno,38267,Vida de Jesús,"Renán, Ernesto",BT301 R46 1968,AC,filosofia
Tijuana-Luis Fimbres Moreno,37496,De los principios de la naturaleza,Santo Tomas de Aquino,BT65.T5 E78 1977,AC,filosofia
Tijuana-Luis Fimbres Moreno,37521,La Nueva iglesia montiniana,"Sáenz y Arriaga, Joaquín",BX1390.5 S2418 1972,AC,religion
Tijuana-Luis Fimbres Moreno,37520,Del único modo de atraer a todos los pueblos a la verdadera religión,"Casas, Fray Bartolome de las",BX1750 C37 1975,AC,religion
Tijuana-Luis Fimbres Moreno,37358,Tratado sobre los principios de la teología,"Occam, Guillermo de",BX1750 O33 1972,AC,filosofia
Tijuana-Luis Fimbres Moreno,38269,Libro de las fundaciones,"Teresa de Jesús, Santa",BX4323.E3 T47 1970,AC,filosofia
Tijuana-Luis Fimbres Moreno,37519,Concilio vaticano II,NA,BX830.1962 C66 1967,AC,religion
Tijuana-Luis Fimbres Moreno,37323,"De Dios escondido, de la busqueda de Dios","Cusa, Nicolas de",BX890.N53 C87 1973,AC,religion
Tijuana-Luis Fimbres Moreno,38396,Lo Hispánico ; un nuevo concepto de hispanidad,"Sánchez Pérez, J.M.",CB226 S26 1970,AC,ciencias auxiliares
Tijuana-Luis Fimbres Moreno,37929,Los orígenes de la civilización,"Childe, Gordon V.",CB311 C4518 1954,AC,historia
Tijuana-Luis Fimbres Moreno,37676,México en la órbita imperial,"Ceceña, José Luis",CH135 C43 1976,AC,historia
library,register,title,author,clasificación,ColectionID,genre
Tijuana-Luis Fimbres Moreno,37716,Radiografía de un gobierno; exitos y fracasos del sexenio 1976-1982,"Pazos, Luis",CV135 P39 1982,AC,historia
Tijuana-Luis Fimbres Moreno,38270,Las ruinas de palmira,"Volney, Conde de",D16.7 V65 1969,AC,historia
Tijuana-Luis Fimbres Moreno,37742,Los conceptos elementales del materialismo histórico,"Harnecker, Marta",D16.9 H3718 1977,AC,historia
Tijuana-Luis Fimbres Moreno,37522,El Protestantismo y el mundo moderno,"Troeltsch, E.",D210 T76 1951,AC,religion
Tijuana-Luis Fimbres Moreno,37652,Un mundo restaurado; la política del conservadurismo en unaépoca revolucionaria,"Kissinger, Henry A.",D383 K57 1973,AC,historia
Tijuana-Luis Fimbres Moreno,38304,La Fortuna por la espada,"Rofheart, Martha",DA256 R64 1974,AC,historia
Tijuana-Luis Fimbres Moreno,38356,Los Italianos,"Barzini, Luigi",DG455 B27 1974,AC,historia
Tijuana-Luis Fimbres Moreno,37628,Maquiavelo,"Gautier-Vignal, Louis",DG738.14 G3818 1971,AC,historia
Tijuana-Luis Fimbres Moreno,37747,Recuerdos sobre Lenin,"Zetkin, Clara",DK254.L42 Z4818 1968,AC,historia
Tijuana-Luis Fimbres Moreno,37568,Reforma o revolución,"Luxemburgo, Rosa",DK265 L89 1967,AC,historia
Tijuana-Luis Fimbres Moreno,38238,Un invierno en mallorca,"Sand, George",DP302.B27 S26 1969,AC,literatura
Tijuana-Luis Fimbres Moreno,37473,Lo que verdaderamente dijo Mao,"Devillers, Philippe",DS778.M3 D48 1973,AC,historia
Tijuana-Luis Fimbres Moreno,37569,Los condenados de la tierra,"Fanon, Frantz",DT295 F39 1965,AC,historia
Tijuana-Luis Fimbres Moreno,38266,América bajo la lupa,"Noel, Eugenio",E14 N64 1970,AC,historia
Tijuana-Luis Fimbres Moreno,37680,Trece días (las crisis de cuba),"Kennedy, Robert F.",E183.8.R9 K46 1978,AC,historia
Tijuana-Luis Fimbres Moreno,37594,Aztlán,"Maciel, David",E184 M39 1976,AC,historia
Tijuana-Luis Fimbres Moreno,37592,Occupied America; the chicano``s struggle toward liberation,"Acuña, Rodolfo",E184.M4 A33 1972,AC,historia
Tijuana-Luis Fimbres Moreno,37649,Racismo y lucha de clases,"Boggs, James",E185.615 B64 1971,AC,historia
Tijuana-Luis Fimbres Moreno,38042,Etnología de América,"Krickeberg, Walter",E58 K75 1974,AC,historia
Tijuana-Luis Fimbres Moreno,37678,Política exterior americana,"Kissinger, Henry A.",E840 K57 1971,AC,historia
Tijuana-Luis Fimbres Moreno,37562,El laberinto de la soledad,"Paz, Octavio,",F1210 P39 1959,AC,literatura clasica
Tijuana-Luis Fimbres Moreno,37623,Los Gobernadores,Proceso,F1210 P76 1980,AC,historia
Tijuana-Luis Fimbres Moreno,38397,La Vida en México ; durante una residencia de dos años en ese país,"Calderón de la Barca, Madame.",F1213 C25 1974,AC,historia local
Tijuana-Luis Fimbres Moreno,37914,Muerte a filo de obsidiana ; los nahuas frente a la muerte,"Matos Moctezuma, Eduardo",F1219.3 M38 1975,AC,historia
Tijuana-Luis Fimbres Moreno,38189,Arte antiguo de México,"Westheim, Paul",F1219.3.A7 W47 1970,AC,historia
Tijuana-Luis Fimbres Moreno,37524,Supervivencias de un mundo magico,"Séjourné, Laurette",F1219.3.M54 S45 1953,AC,literatura
Tijuana-Luis Fimbres Moreno,37512,Pensamiento y religión en el México Antiguo,"Séjourné, Laurette",F1219.3.R38 S45 1975,AC,historia
Tijuana-Luis Fimbres Moreno,37591,Los Indios en las clases sociales de México,"Pozas, Ricardo",F1220 P69 1978,AC,historia
Tijuana-Luis Fimbres Moreno,37915,"Envidia, brujería y organización ceremonial; un pueblo zoque","Thomas, Norman D.",F1221.76 T46 1974,AC,historia
Tijuana-Luis Fimbres Moreno,37590,Tierra incógnita,"Benítez, Fernando",F1221.O86 I46 1972,AC,geografia
Tijuana-Luis Fimbres Moreno,37523,Mitología tarasca,"Corona Núñez, José",F1221.T3 C67 1957,AC,religion
Tijuana-Luis Fimbres Moreno,37653,Evolución política del pueblo mexicano,"Sierra, Justo",F1226 S54 1950,AC,historia
Tijuana-Luis Fimbres Moreno,37658,Los bienes de la iglesia en México (1856-1875),"Bazant, Jan",F1232.5 B39 1977,AC,historia
Tijuana-Luis Fimbres Moreno,37650,La ideología de la revolución mexicana; la formación del nuevorégimen,"Córdova, Arnaldo",F1234 C67 1979,AC,historia
Tijuana-Luis Fimbres Moreno,37647,El sinarquismo; ¿un fascismo mexicano? 1937-1947,"Meyer, Jean",F1234 M49 1979,AC,historia
Tijuana-Luis Fimbres Moreno,37617,Lecturas de política mexicana,Centro de Estudios Internacionales,F1235 C46 1977,AC,ciencia politica
Tijuana-Luis Fimbres Moreno,37657,El sistema político mexicano,"Cosío Villegas, Daniel",F1235 C67 1976,AC,historia
Tijuana-Luis Fimbres Moreno,37563,Posdata,"Paz, Octavio,",F1235 P39 1976,AC,literatura clasica
Tijuana-Luis Fimbres Moreno,37593,A través de la frontera,NA,F1249 C46 1983,AC,historia
Tijuana-Luis Fimbres Moreno,38309,Fama y oscuridad,"Talese, Gay",F128.52 T25 1975,AC,historia
Tijuana-Luis Fimbres Moreno,37543,Pueblo en vilo; microhistoria de San José de Gracia,"González, Luis",F1306 G66 1979,AC,historia
Tijuana-Luis Fimbres Moreno,38424,"Historia, tradiciones y leyendas de calles de México","Valle-Arizpe, Artemio",F1386 V35 1979,AC,historia
Tijuana-Luis Fimbres Moreno,37600,La Cultura moderna en América Latina,"Franco, Jean",F1408.3 F718 1971,AC,historia
