place,id,title,author,snbn,format,genre
Tijuana-Luis Fimbres Moreno,37604,Historia de la cultura en la América Hispanica,"Henríquez Ureña, Pedro",F1408.3 H57 1975,AC,historia
Tijuana-Luis Fimbres Moreno,37670,Imperialismo y cultura de la violencia en América Latina,"Ianni, Octavio",F1414 I36 1978,AC,historia
Tijuana-Luis Fimbres Moreno,37679,Los Estados Unidos y América Latina; de Monroe a Fidel Castro,"Matthews, Herbert L.",F1418 A64 1967,AC,historia
Tijuana-Luis Fimbres Moreno,37674,La Imagen de los Estados Unidos en la América Latina; de SimónBolivar a Salvador Allende,"Rama, Carlos M.",F1418 R36 1975,AC,historia
Tijuana-Luis Fimbres Moreno,37925,Los Códices mayas,"Garcés Contreras, Guillermo",F1435.3 G37 1975,AC,historia
Tijuana-Luis Fimbres Moreno,37651,La Revolución Cubana; una reinterpretación,"Bambirra, Vania",F1788 B36 1976,AC,historia
Tijuana-Luis Fimbres Moreno,38239,Facundo,"Sarmiento, Domingo Faustino",F2846 S27 1969,AC,literatura
Tijuana-Luis Fimbres Moreno,37597,Formación de una cultura nacional indoamericana,"Arguedas, José María",F3429 A74 1977,AC,historia
Tijuana-Luis Fimbres Moreno,37595,Al Norte de México el conflicto entre anglos e hispanos,"McWilliams, Carey",F786 M39 1968,AC,historia
Tijuana-Luis Fimbres Moreno,37596,Los Mexicanos de los Estados Unidos y el movimiento chicano,"Moore, Joan W.",F790.M5 M66 1973,AC,historia
Tijuana-Luis Fimbres Moreno,37777,Sociología del turismo; cambios estructurales en el turismomoderno,"Knebel, Hans-Joachim",G155 K6418 1974,AC,geografia
Tijuana-Luis Fimbres Moreno,38037,Los Océanos,"Salvat, Manuel",GC51 O24 1974,AC,geografia
Tijuana-Luis Fimbres Moreno,37599,Antropología e historia en el siglo de las luces,"Duchet, Michele",GN17 D815 1975,AC,antropologia
Tijuana-Luis Fimbres Moreno,37603,Estudio del hombre,"Linton, Ralph",GN24 L56 1956,AC,antropologia
Tijuana-Luis Fimbres Moreno,38044,Introducción a la antropología,"Beals, Ralph L.",GN25 B4318 1978,AC,antropologia
Tijuana-Luis Fimbres Moreno,38046,Los procesos de hominización,"Vallois, H.",GN350 V35 1969,AC,antropologia
Tijuana-Luis Fimbres Moreno,38048,El hombre antes de adan,"Silverberg, Robert",GN720 S55 1965,AC,antropologia
Tijuana-Luis Fimbres Moreno,38280,Arabescos del amor,"Weisweiler, Max",GR275 W45 1968,AC,antropologia
Tijuana-Luis Fimbres Moreno,37527,Introducción a la estadística aplicada a las ciencias de laconducta,"Young, Robert K.",H29 Y6818 1975,AC,ciencias sociales
Tijuana-Luis Fimbres Moreno,37541,Fundamentos de estadística en la investigación social,"Levin, Jack",HA29 L485 1979,AC,ciencias sociales
Tijuana-Luis Fimbres Moreno,37361,Estadística simplificada para psicólogos y educadores,"Smith, Milton G.",HA29 S65 1970,AC,ciencias sociales
Tijuana-Luis Fimbres Moreno,37986,Introducción a la estadística matemática,"Yule, G. Udny",HA29 Y85 1947,AC,ciencias sociales
Tijuana-Luis Fimbres Moreno,37701,Guía de Keynes,"Hansen, Alvin H.",HB103.K47 H3618 1974,AC,ciencias sociales
Tijuana-Luis Fimbres Moreno,37741,Miseria de la filosofía,"Marx, Karl,",HB163.P76 M3718 1979,AC,ciencias sociales
Tijuana-Luis Fimbres Moreno,37702,"Teoría general de la ocupación, el interés y el dinero","Keynes, John Maynard",HB171 K4918 1977,AC,ciencias sociales
Tijuana-Luis Fimbres Moreno,37682,Introducción a la economía,"Sickle, John V. Van",HB171.5 V3618 1959,AC,ciencias sociales
Tijuana-Luis Fimbres Moreno,37693,Economía política; problemas generales,"Lange, Oskar",HB173 L3618 1966,AC,ciencias sociales
Tijuana-Luis Fimbres Moreno,37692,Ciencia y teoría económica,"Pazos, Luis",HB178.5 P39 1976,AC,ciencias sociales
Tijuana-Luis Fimbres Moreno,37694,Teorías económicas Burguesas del siglo xx,"Firsoba, S.M.",HB501 F5718 1967,AC,ciencias sociales
Tijuana-Luis Fimbres Moreno,37644,El Romanticismo económico,"Lenin, V.I.",HB501 L46 1970,AC,ciencias sociales
Tijuana-Luis Fimbres Moreno,37688,Historia del pesamiento económico-social de la antigüedad al siglo XVI,"Silva Herzog, Jesús,",HB55 S55 1939,AC,ciencias sociales
Tijuana-Luis Fimbres Moreno,38169,Tópicos de matemáticas para administración y economía,"Sevilla, Joel",HB74.M3 S48 1976,AC,ciencias sociales
Tijuana-Luis Fimbres Moreno,37685,Historia de la economía,"Ferguson, John M.",HB75 F47 1948,AC,ciencias sociales
Tijuana-Luis Fimbres Moreno,37686,Historia de las doctrinas económicas,"Gonnard, René",HB75 G6618 1959,AC,ciencias sociales
Tijuana-Luis Fimbres Moreno,37681,Evolución de la economía moderna,"Gill, Richard T.",HB75 G75 1969,AC,ciencias sociales
Tijuana-Luis Fimbres Moreno,37711,Vida y doctrina de los grandes economistas,"Heilbroner, Robert L.",HB76 H4518 1977,AC,ciencias sociales
Tijuana-Luis Fimbres Moreno,37757,El Modo de producción asiático,"Chesneaux, Jean",HB97.5 C34 1969,AC,ciencias sociales
Tijuana-Luis Fimbres Moreno,37700,Ensayos sobre economía del bienestar,"Arrow, Kenneth J.",HB99.3 A7718 1974,AC,ciencias sociales
Tijuana-Luis Fimbres Moreno,37689,Historia económica general,"Weber, Max",HC 21 W4318 1964,AC,ciencias sociales
Tijuana-Luis Fimbres Moreno,37684,Examen de la situación económica de México 1925-1976,Banamex,HC131 B36 1978,AC,ciencias sociales
Tijuana-Luis Fimbres Moreno,37713,Dialéctica de la Economía Mexicana; del colonialismo al imperialismo,"Aguilar Monteverde, Alonso",HC133 A38 1977,AC,ciencias sociales
Tijuana-Luis Fimbres Moreno,37691,Ensayos sobre historia económica de México,"López Rosado, Diego G.",HC133 L67 1965,AC,ciencias sociales
Tijuana-Luis Fimbres Moreno,37731,"Recursos naturales de México; teoría, conocimiento y uso","Bassols Batalla, Angel",HC133.5 B37 1983,AC,ciencias sociales
Tijuana-Luis Fimbres Moreno,37714,La estructura económica y social de México en la época de la reforma,"López Cámara, Francisco",HC134 L67 1978,AC,ciencias sociales
Tijuana-Luis Fimbres Moreno,37697,Bases para la planeación económica y social de México,NA,HC135 B37 1966,AC,ciencias sociales
Tijuana-Luis Fimbres Moreno,37709,Geografía subdesarrollo y regionalización,"Bassols Batalla, Angel",HC135 B37 1971,AC,ciencias sociales
Tijuana-Luis Fimbres Moreno,37715,El Milagro mexicano,"Carmona, Fernando",HC135 C37 1979,AC,ciencias sociales
Tijuana-Luis Fimbres Moreno,37668,La Sucesión presidencial,"Cosío Villegas, Daniel",HC135 L43 1975,AC,ciencias sociales
Tijuana-Luis Fimbres Moreno,37695,La Formación del capitalismo en México,"Peña, Sergio de la",HC135 P46 1979,AC,ciencias sociales
Tijuana-Luis Fimbres Moreno,37704,La Economía mexicana; su estructura y crecimiento en el siglo XX,"Reynolds, Clark W.",HC135 R4918 1973,AC,ciencias sociales
Tijuana-Luis Fimbres Moreno,37699,Planes de desarrollo económico y social en México,"Solís, Leopoldo",HC135 S65 1975,AC,ciencias sociales
Tijuana-Luis Fimbres Moreno,37717,La Economía mexicana; II política y desarrollo,"Solís M., Leopoldo",HC135 S65 1978,AC,ciencias sociales
Tijuana-Luis Fimbres Moreno,37705,El Dilema del desarrollo económico de México,"Vernon, Raymond",HC135 V4718 1977,AC,ciencias sociales
Tijuana-Luis Fimbres Moreno,37718,La sociedad mexicana,"Wionczek, Miguel S.",HC135 W56 1979,AC,ciencias sociales
Tijuana-Luis Fimbres Moreno,37683,Tres estudios socio-económicos de la frontera,"Treviño Arredondo, René",HC137.B25 T74 1979,AC,ciencias sociales
Tijuana-Luis Fimbres Moreno,37719,Ensayos económicos de Baja California 1940-1970,"Noriega Verdugo, Sergio",HC137.B35 N67 1982,AC,ciencias sociales
Tijuana-Luis Fimbres Moreno,37611,Estadísticas y gráficas de Tijuana,"Guevara Santillan, Manuel",HC138.T52 G84 1979,AC,estudio
Tijuana-Luis Fimbres Moreno,37708,En torno a los orígenes de la revolución industrial,"Hobsbawm, E. J.",HC240 H6318 1980,AC,ciencias sociales
Tijuana-Luis Fimbres Moreno,37687,Los Bienes terrenales del hombre; historia de las riquezas de las naciones,"Huberman, Leo",HC25 H8318 1977,AC,ciencias sociales
Tijuana-Luis Fimbres Moreno,37637,¿Es el comunismo una nueva etapa?,"Budish, Jacob M.",HC335 B83 1967,AC,ciencias sociales
Tijuana-Luis Fimbres Moreno,37690,Historia económica y social de la Edad Media,"Pirenne, Henri",HC41 P5718 1978,AC,ciencias sociales
Tijuana-Luis Fimbres Moreno,37646,Desarrollo y revolución cultural en China,"Wheelwright, E. L.",HC427.9 W44 1972,AC,ciencias sociales
Tijuana-Luis Fimbres Moreno,37706,Hacia una dialéctica del subdesarrollo,"Díaz Chávez, Filander",HC59.7 D53 1971,AC,ciencias sociales
Tijuana-Luis Fimbres Moreno,37758,Las Empresas transnacionales; expansión a nivel mundial y proyección en la industria mexicana,"Fajnzylber, Fernando",HD2811 F47 1980,AC,ciencias sociales
Tijuana-Luis Fimbres Moreno,38153,Arriba la organización; cómo evitar que la organización ahogue a los empleados y se coma los beneficios,"Townsend, Robert",HD31 T6918 1980,AC,ciencias sociales
Tijuana-Luis Fimbres Moreno,38165,El Directivo racional ; enfoque sistemático a la resolución deproblemas y toma de decisiones,"Kepner, Charles H.",HD38 K4718 1970,AC,ciencias sociales
Tijuana-Luis Fimbres Moreno,38158,La Práctica de la creatividad,"Prince, George M.",HD38 P7518 1980,AC,ciencias sociales
Tijuana-Luis Fimbres Moreno,37721,Salarios,"Dobb, Maurice",HD4909 D6318 1975,AC,ciencias sociales
Tijuana-Luis Fimbres Moreno,37756,Industrialización y empleo en México,"Trejo Reyes, Saúl",HD5731.A6 T74 1978,AC,ciencias sociales
Tijuana-Luis Fimbres Moreno,38151,Teoría Z,"Ouchi, William G.",HD70.13 O9318 1982,AC,ciencias sociales
Tijuana-Luis Fimbres Moreno,37585,La clase obrera en la historia de México 1; de la colonia al imperio,NA,HD8116 C56 1980,AC,ciencias sociales
Tijuana-Luis Fimbres Moreno,37586,La clase obrera en la historia de México 2; del estado liberala los inicios de la dictadura Porfirista,"Leal, Juan Felipe",HD8116 C56 1980,AC,ciencias sociales
Tijuana-Luis Fimbres Moreno,37587,La Clase obrera en la historia de México 3; de la dictadura Porfirista a los tiempos libertarios,"Cardoso, Ciro F.S.",HD8116 C56 1980,AC,ciencias sociales
Tijuana-Luis Fimbres Moreno,37588,La Clase obrera en la historia de México 9; en una época de crisis (1928-1934),"Córdova, Arnoldo",HD8116 C56 1980,AC,ciencias sociales
Tijuana-Luis Fimbres Moreno,37696,Ensayos sobre planificación económica,"Lange, Oskar",HD82 L3618 1970,AC,ciencias sociales
Tijuana-Luis Fimbres Moreno,37732,La era del petróleo,"Cruz O., Oscar René",HD9560.5 M84 1980,AC,ciencias sociales
Tijuana-Luis Fimbres Moreno,37733,"El petróleo de México; su importancia, sus problemas","López Portillo y Weber, José",HD9574.M6 L67 1975,AC,ciencias sociales
Tijuana-Luis Fimbres Moreno,37677,México y los estados unidos en el conflicto petrolero (1917-1942),"Meyer, Lorenzo",HD9574.M6 M49 1981,AC,ciencias sociales
Tijuana-Luis Fimbres Moreno,37734,El Rescate del petróleo; epopeya de un pueblo,"Rodríguez, Antonio",HD9574.M6 R63 1975,AC,ciencias sociales
Tijuana-Luis Fimbres Moreno,37913,Teoría del comercio internacional,"Torres Gaytan, Ricardo",HF1007 T67 1972,AC,ciencias sociales
Tijuana-Luis Fimbres Moreno,38178,Lecturas escogidas en marketing,NA,HF5415 I23 1971,AC,ciencias sociales
Tijuana-Luis Fimbres Moreno,38135,La Sociedad contemporánea y el empresario,"Servitje, Lorenzo",HF5500 S47 1981,AC,ciencias sociales
Tijuana-Luis Fimbres Moreno,38159,Las Relaciones humanas en los negocios,"Baer, Earl E.",HF5548.8 B3418 1981,AC,ciencias sociales
Tijuana-Luis Fimbres Moreno,37452,Psicología de las organizaciones,"Bass, Bernard M.",HF5548.8 B37 1972,AC,ciencias sociales
Tijuana-Luis Fimbres Moreno,37453,Psicología industrial; sus fundamentos teóricos y sociales,"Blum, Milton I.",HF5548.8 B5818 1981,AC,ciencias sociales
Tijuana-Luis Fimbres Moreno,37454,Psicología industrial,"Dunnette, Marvin D.",HF5548.8 D86 1972,AC,ciencias sociales
Tijuana-Luis Fimbres Moreno,38160,La Administración de la relaciones humanas,"Gellerman, Saul W.",HF5549 G4518 1978,AC,ciencias sociales
Tijuana-Luis Fimbres Moreno,38157,Mando y motivación,"McGregor, Douglas",HF5549 M3418 1977,AC,ciencias sociales
Tijuana-Luis Fimbres Moreno,38161,El Aspecto humano de las empresas,"McGregor, Douglas",HF5549 M3418 1977,AC,ciencias sociales
Tijuana-Luis Fimbres Moreno,38156,Capacitación y desarrollo de personal,"Siliceo Aguilar, Alfonso",HF5549.5.C3 S55 1985,AC,ciencias sociales
Tijuana-Luis Fimbres Moreno,38155,Estructura y elaboración de pruebas para selección de personal,"Rivera Soler, Ricardo Antonio",HF5549.5.E5 R58 1968,AC,ciencias sociales
Tijuana-Luis Fimbres Moreno,37759,Las Empresas transnacionales en México,"Sepúlveda Amor, Bernardo",HG5162 S47 1977,AC,ciencias sociales
Tijuana-Luis Fimbres Moreno,37727,Historia del peso mexicano,"López Rosado, Diego G.",HG662 L67 1975,AC,ciencias sociales
Tijuana-Luis Fimbres Moreno,37725,Inflación y democracia; el caso de México,"Barkin, David",HG664 B34 1979,AC,ciencias sociales
Tijuana-Luis Fimbres Moreno,37558,La Cultura como empresa multinacional,"Mattelart, Armand",HM101 M388 1979,AC,ciencias sociales
Tijuana-Luis Fimbres Moreno,37566,Cambio social,"Moore, Wilbert E.",HM101 M66 1972,AC,ciencias sociales
Tijuana-Luis Fimbres Moreno,37365,Dinámica de grupos; investigación y teoría,"Cartwright, Dorwin",HM131 C37 1971,AC,ciencias sociales
Tijuana-Luis Fimbres Moreno,37561,La Enajenación del hombre moderno,"Pappenheim, Fritz",HM131 P37 1976,AC,musica
Tijuana-Luis Fimbres Moreno,38164,Análisis de la organización ; aspecto sociológico,"Perrow, Charles",HM131 P4718 1972,AC,ciencias sociales
Tijuana-Luis Fimbres Moreno,37450,Técnicas y práctica de las relaciones humanas,"Vela, Jesús Andrés",HM134 V45 1983,AC,ciencias sociales
Tijuana-Luis Fimbres Moreno,37548,Lecturas de psicología social contemporánea,"Marín, Gerardo",HM251 M37 1976,AC,ciencias sociales
Tijuana-Luis Fimbres Moreno,37549,Manual de investigación en psicología social,"Marín, Gerardo",HM251 M375 1975,AC,ciencias sociales
Tijuana-Luis Fimbres Moreno,37550,Fundamentos del comportamiento colectivo,"Mitscherlich, Alexander",HM251 M5818 1973,AC,ciencias sociales
Tijuana-Luis Fimbres Moreno,37552,Psicología social,"Rodríguez, Aroldo",HM251 R6318 1978,AC,ciencias sociales
Tijuana-Luis Fimbres Moreno,38180,Perlería; entre la publicidad y la propaganda,"Ferrer Rodríguez, Eulalio",HM263 F47 1977,AC,ciencias sociales
Tijuana-Luis Fimbres Moreno,38181,Publicidad; técnica y práctica,"Parramón, José Ma.",HM263 P37 1974,AC,ciencias sociales
Tijuana-Luis Fimbres Moreno,37384,Psicoanálisis de la sociedad contemporánea ; hacia una sociedad sana,"Fromm, Erich,",HM271 F76 1976,AC,psicologia
Tijuana-Luis Fimbres Moreno,37372,Modificación de conducta; análisis de la agresión y la delincuencia,"Bandura, Albert,",HM281 B36 1978,AC,ciencias sociales
Tijuana-Luis Fimbres Moreno,37366,Conducción de grupos y de masas estrategia y táctica,"Fingermann, Gregorio",HM281 F56 1972,AC,ciencias sociales
Tijuana-Luis Fimbres Moreno,37554,Grupos humanos,"Sprott, W.J.H.",HM291 S67 1973,AC,ciencias sociales
Tijuana-Luis Fimbres Moreno,37532,La sociedad,"Chinoy, Ely",HM51 C4718 1966,AC,ciencias sociales
Tijuana-Luis Fimbres Moreno,37534,Sociología,"Fichter, Joseph H.",HM51 F53 1978,AC,ciencias sociales
Tijuana-Luis Fimbres Moreno,37545,Sociología de Marcel Mauss,"Cazeneuve, Jean",HM55 C39 1970,AC,ciencias sociales
Tijuana-Luis Fimbres Moreno,37564,Alternativas,"Illich, Ivan",HM61 I55 1977,AC,ciencias sociales
Tijuana-Luis Fimbres Moreno,37535,Introducción a la sociología,"López Rosado, Felipe",HM66 L7674 1972,AC,ciencias sociales
Tijuana-Luis Fimbres Moreno,924422,Primer certamen universitario de ensayo,NA,HM821 C47 2006,BC,investigacion sociocultural
Tijuana-Luis Fimbres Moreno,37576,Sociología del renacimiento,"Martin, Alfred Von",HN11 M3718 1974,AC,ciencias sociales
Tijuana-Luis Fimbres Moreno,37574,"Migracion, etnicismo y cambio económico","Arizpe, Lourdes",HN113 A37 1978,AC,ensayo
Tijuana-Luis Fimbres Moreno,37589,Ensayos sobre las clases sociales en México,NA,HN113 E48 1968,AC,ciencias sociales
Tijuana-Luis Fimbres Moreno,37556,Sociopsicoanálisis del campesino mexicano,"Fromm, Erich,",HN113.5 F7618 1973,AC,ciencias sociales
Tijuana-Luis Fimbres Moreno,37626,"La Burguesía, la oligarquía y el estado","Carrión, Jorge",HN120.Z9 S37 1977,AC,ciencias sociales
Tijuana-Luis Fimbres Moreno,37601,Antropología de la pobreza; cinco familias,"Lewis, Oscar",HQ562 L49 1961,AC,antropologia
Tijuana-Luis Fimbres Moreno,37434,La Muerte de la familia,"Cooper, David",HQ728 C66 1980,AC,ciencias sociales
Tijuana-Luis Fimbres Moreno,38076,El Futuro de la herencia humana,"Osborn, Frederick",HQ753 O83 1971,AC,ciencias sociales
Tijuana-Luis Fimbres Moreno,37573,Estudio social-psicológico de la planificación familiar,"Weiss, Susan Pick de",HQ766 P5 1979,AC,psicologia
Tijuana-Luis Fimbres Moreno,37427,El adolescente y su familia,"Lidz, Theodore",HQ769 L53 1972,AC,ciencias sociales
Tijuana-Luis Fimbres Moreno,37423,El niño de 9 a 10 años,"Gesell, Arnold",HQ772 G47 1976,AC,ciencias sociales
Tijuana-Luis Fimbres Moreno,37425,Desarrollo normal y anormal del escolar,"Weiner, I.B.",HQ772 W45 1976,AC,ciencias sociales
Tijuana-Luis Fimbres Moreno,37402,Aprendizaje social y desarrollo de la personalidad,"Bandura, Albert,",HQ783 B34 1983,AC,psicologia
Tijuana-Luis Fimbres Moreno,38140,Cómo trabajar con grupos adolescentes,"Roberts, Dorothy M.",HQ796 R6318 1978,AC,ciencias sociales
Tijuana-Luis Fimbres Moreno,38138,Cómo ser un miembro de consejo o comité,"Sorenson, Roy",HS35 S6718 1974,AC,ciencias sociales
Tijuana-Luis Fimbres Moreno,37673,Breve historia de la esclavitud negra en América Latina,"Mellafe, Rolando",HT1048 M45 1973,AC,ciencias sociales
Tijuana-Luis Fimbres Moreno,37544,El crecimiento de las ciudades en América Latina,"Harris, Walter D.",HT127.5 H37 1975,AC,ciencias sociales
Tijuana-Luis Fimbres Moreno,37580,Clases y lucha de clases,"Glezerman, G.",HT609 S54 1968,AC,ciencias sociales
Tijuana-Luis Fimbres Moreno,37583,La Desigualdad social I; teorías de la estratificación y la movilidad sociales,"Stern, Claudio",HT609 S84 1974,AC,ciencias sociales
Tijuana-Luis Fimbres Moreno,37584,La Desigualdad social II; teorías de la estratificación y la movilidad sociales,"Stern, Claudio",HT609 S84 1974,AC,ciencias sociales
Tijuana-Luis Fimbres Moreno,37852,A National strategy to reduce crime,NA,HV8138 N38 1973,AC,ciencias sociales
Tijuana-Luis Fimbres Moreno,37846,La Fundación Rockefeller,"Fosdick, Raymond B.",HV97.R6 F6718 1957,AC,ciencias sociales
Tijuana-Luis Fimbres Moreno,37633,Precursores del socialismo,"Owen, Robert",HX15 P74 1970,AC,ciencias sociales
Tijuana-Luis Fimbres Moreno,37632,El Socialismo anterior a Marx,"Babeuf, Graco",HX21 B33 1969,AC,ciencias sociales
Tijuana-Luis Fimbres Moreno,37631,Historia y enajenación,"Gorz, André",HX266 G67 1964,AC,ciencias sociales
Tijuana-Luis Fimbres Moreno,37638,La Comuna de Berlin,"Luxemburgo, Rosa",HX273 L46 1971,AC,ciencias sociales
Tijuana-Luis Fimbres Moreno,37645,Lenin; (la coherencia de su pensamiento),"Lukács, Georg",HX312.L43 L83 1970,AC,ciencias sociales
Tijuana-Luis Fimbres Moreno,37745,El estado y la revolución; la doctrina del estado y las tareasdel proletariado en la revolución,"Lenin, V.I.",HX314 L4618 1973,AC,ciencias sociales
Tijuana-Luis Fimbres Moreno,37746,Los fundamentos del Leninismo,"Stalin, José",HX314 S7318 1970,AC,ciencias sociales
Tijuana-Luis Fimbres Moreno,37634,Fuentes y partes integrantes del marxismo,"Lenin, V.I.",HX39 L49 1970,AC,ciencias sociales
Tijuana-Luis Fimbres Moreno,37348,El Materialismo histórico,"Cornforth, Maurice",HX39.5 C66 1982,AC,ciencias sociales
Tijuana-Luis Fimbres Moreno,37740,Marx y su concepto del hombre ; manuscritos económico-filosófico,"Fromm, Erich,",HX39.5 F7618 1962,AC,ciencias sociales
Tijuana-Luis Fimbres Moreno,37347,Práctica social y teoría,"Besse, Guy",HX59 B47 1969,AC,ciencias sociales
Tijuana-Luis Fimbres Moreno,37346,Rousseau en México,"Sánchez Vázquez, Adolfo",HX59 S26 1970,AC,ciencias sociales
Tijuana-Luis Fimbres Moreno,37656,Utopía; precedida de una carta a Pedro Giles,"Moro, Tomás, 1478-1535",HX811.5 M67 1957,AC,ciencias sociales
Tijuana-Luis Fimbres Moreno,37629,Introducción a las doctrinas político-económicas,"Montenegro, Walter",JA69 M66 1982,AC,ciencias sociales
Tijuana-Luis Fimbres Moreno,37614,Sociología de la política elementos de ciencia política,"Duverger, Maurice",JA76 D88 1980,AC,ciencia politica
Tijuana-Luis Fimbres Moreno,37616,Política y ciencia social,Mackenzie W.J.M.,JA76 M3318 1972,AC,ciencia politica
Tijuana-Luis Fimbres Moreno,37627,Los Grandes textos políticos; desde Maquiavelo a nuestro días,"Chevallier, Jean-Jacques",JA83 C48 1955,AC,ciencia politica
Tijuana-Luis Fimbres Moreno,37513,Tratado de la ley=tratado de la justicia=opúsculo sobre el gobierno de los príncipes,"Tomás de Aquino, Santo",JC121 T66 1975,AC,ciencia politica
Tijuana-Luis Fimbres Moreno,37639,Hegemonía y dominación en el estado moderno,"Poulantzas, Nicos",JC131 P68 1977,AC,ciencias sociales
Tijuana-Luis Fimbres Moreno,37625,Locke,"Blanco F., Francisco",JC153.L8 B63 1977,AC,ciencia politica
Tijuana-Luis Fimbres Moreno,38268,El Contrato social,"Rousseau, Juan Jacobo",JC179 R68 1969,AC,filosofia
Tijuana-Luis Fimbres Moreno,37618,Teoría del estado,"Heller, Hermann",JC263 H4718 1971,AC,ciencia politica
Tijuana-Luis Fimbres Moreno,37643,Acerca del estado,"Lenin, V.I.",JC268 L4618 1970,AC,ciencia politica
Tijuana-Luis Fimbres Moreno,37619,Estado y nación,"Akzin, Benjamin",JC311 A39 1968,AC,ciencia politica
Tijuana-Luis Fimbres Moreno,37648,La unidad nacional y los nacionalismos españoles,"Ramos Oliveira, Antonio",JC311 R36 1970,AC,ciencia politica
Tijuana-Luis Fimbres Moreno,37675,Espionaje político,"Marín, Carlos",JC325 M37 1981,AC,ciencia politica
Tijuana-Luis Fimbres Moreno,38262,La Ciudad antigua,"Coulanges, Fustel de",JC51 C68 1968,AC,ciencia politica
Tijuana-Luis Fimbres Moreno,37843,"Administración pública; la función administrativa, los sistemas de organización y otros aspectos","Waldo, Dwight",JF1351 W3518 1967,AC,ciencia politica
Tijuana-Luis Fimbres Moreno,37662,Reforma política mexicana y el sistema pluripartidista,"Murillo Soberanis, Manlio Fabio",JL1231 M87 1979,AC,ciencia politica
Tijuana-Luis Fimbres Moreno,37698,La Riqueza de la pobreza,"González Pedrero, Enrique",JL1281 G66 1979,AC,ciencia politica
Tijuana-Luis Fimbres Moreno,37664,Los Partidos políticos de México,"Conchello, José Angel",JL1298 P37 1975,AC,ciencia politica
Tijuana-Luis Fimbres Moreno,37636,Ideología y poder en la política soviética,"Brzezinski, Zbigniew,",JN 6515 B79 1970,AC,ciencia politica
Tijuana-Luis Fimbres Moreno,37654,¿Que es el tercer estado?,"Sieyes, Emmanuel",JN2409 S54 1973,AC,ciencia politica
Tijuana-Luis Fimbres Moreno,37738,El Marxismo y los caminos del porvenir,"Rochet, Waldeck",JN3007.C6 R63 1969,AC,ciencia politica
